"AccountNumber","AccountType","Posted Date","Amount","Description","Check Number","Category","Balance","Note",""
"0001112223","CK",1/1/2022,$3800.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$12300.00,"budgeteer:rename=Primary Paycheck",
"0001112223","CK",1/1/2022,($2189.00),"ACH:Redwood Grove RENT","","Mortgage / Rent",$10111.00,"",
"0001112223","CK",1/1/2022,($245.00),"ACH:HEALTH INSURANCE","","Insurance",$9866.00,"",
"0001112223","CK",1/1/2022,($46.22),"DEBITCARD: Pet Supplies","","Pets",$9819.78,"",
"0001112223","CK",1/2/2022,($9.47),"DEBITCARD: Pharmacy","","Health",$9810.31,"",
"0001112223","CK",1/2/2022,($10.85),"DEBITCARD: Streaming Add-on","","Entertainment",$9799.46,"",
"0001112223","CK",1/3/2022,($118.49),"DEBITCARD: Grocery Store","","Groceries",$9680.97,"",
"0001112223","CK",1/3/2022,($9.03),"DEBITCARD: Pharmacy","","Health",$9671.94,"",
"0001112223","CK",1/4/2022,($425.00),"ACH:AUTO LOAN PAYMENT","","Auto & Transport",$9246.94,"budgeteer:goal=Auto Loan Down-payment",
"0001112223","CK",1/5/2022,($79.99),"ACH:ISP INTERNET BILL","","Internet",$9166.95,"",
"0001112223","CK",1/7/2022,($44.02),"DEBITCARD: Pet Supplies","","Pets",$9122.93,"",
"0001112223","CK",1/8/2022,($39.99),"ACH:GYM MEMBERSHIP","","Health",$9082.94,"",
"0001112223","CK",1/8/2022,($53.75),"DEBITCARD: Pet Supplies","","Pets",$9029.19,"",
"0001112223","CK",1/8/2022,($7.28),"DEBITCARD: Ride Share","","Auto & Transport",$9021.91,"",
"0001112223","CK",1/9/2022,($136.66),"DEBITCARD: Clothing Store","","Shopping",$8885.25,"",
"0001112223","CK",1/9/2022,($12.26),"DEBITCARD: Ride Share","","Auto & Transport",$8872.99,"",
"0001112223","CK",1/10/2022,($19.99),"ACH:STREAMING SUBSCRIPTION","","Entertainment",$8853.00,"",
"0001112223","CK",1/11/2022,($68.00),"ACH:MOBILE PHONE","","Utilities",$8785.00,"",
"0001112223","CK",1/11/2022,($210.00),"ACH:STUDENT LOAN SERVICER","","Loans",$8575.00,"",
"0001112223","CK",1/11/2022,($60.58),"DEBITCARD: Event Tickets","","Entertainment",$8514.42,"",
"0001112223","CK",1/11/2022,($6.98),"DEBITCARD: Coffee Shop","","Food & Drink",$8507.44,"",
"0001112223","CK",1/11/2022,($38.16),"DEBITCARD: Gas Station","","Gas / Fuel",$8469.28,"",
"0001112223","CK",1/11/2022,($23.43),"DEBITCARD: Books","","Shopping",$8445.85,"",
"0001112223","CK",1/12/2022,($175.53),"ACH:ELECTRIC BILL","","Utilities",$8270.32,"",
"0001112223","CK",1/12/2022,$265.58,"ACH:MOONLIGHT GIG","","Misc. Income",$8535.90,"Side work",
"0001112223","CK",1/13/2022,($7.65),"DEBITCARD: Coffee Shop","","Food & Drink",$8528.25,"",
"0001112223","CK",1/13/2022,($35.30),"DEBITCARD: Pharmacy","","Health",$8492.95,"",
"0001112223","CK",1/14/2022,($9.69),"DEBITCARD: Ride Share","","Auto & Transport",$8483.26,"",
"0001112223","CK",1/15/2022,$3800.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$12283.26,"",
"0001112223","CK",1/15/2022,($750.00),"Web Branch:TFR TO SV 0001112223","","Transfer",$11533.26,"budgeteer:apply=savings",
"0001112223","CK",1/15/2022,($38.81),"DEBITCARD: Clothing Store","","Shopping",$11494.45,"",
"0001112223","CK",1/19/2022,($40.86),"DEBITCARD: Gas Station","","Gas / Fuel",$11453.59,"",
"0001112223","CK",1/19/2022,($22.36),"DEBITCARD: Books","","Shopping",$11431.23,"",
"0001112223","CK",1/20/2022,($20.96),"DEBITCARD: Pharmacy","","Health",$11410.27,"",
"0001112223","CK",1/20/2022,($8.51),"DEBITCARD: Ride Share","","Auto & Transport",$11401.76,"",
"0001112223","CK",1/21/2022,($26.55),"DEBITCARD: Ride Share","","Auto & Transport",$11375.21,"",
"0001112223","CK",1/21/2022,($43.27),"DEBITCARD: Hardware Store","","Home",$11331.94,"",
"0001112223","CK",1/22/2022,($47.47),"ACH:WATER BILL","","Utilities",$11284.47,"",
"0001112223","CK",1/22/2022,($35.10),"DEBITCARD: Restaurant","","Food & Drink",$11249.37,"",
"0001112223","CK",1/22/2022,($66.19),"DEBITCARD: Event Tickets","","Entertainment",$11183.18,"",
"0001112223","CK",1/22/2022,($37.61),"DEBITCARD: Pet Supplies","","Pets",$11145.57,"",
"0001112223","CK",1/23/2022,($5.29),"DEBITCARD: Streaming Add-on","","Entertainment",$11140.28,"",
"0001112223","CK",1/24/2022,($18.15),"DEBITCARD: Books","","Shopping",$11122.13,"",
"0001112223","CK",1/24/2022,($42.64),"DEBITCARD: Gas Station","","Gas / Fuel",$11079.49,"",
"0001112223","CK",1/25/2022,($913.22),"ACH:CREDIT CARD PAYMENT","","Credit Card",$10166.27,"",
"0001112223","CK",1/26/2022,($72.96),"DEBITCARD: Gas Station","","Gas / Fuel",$10093.31,"",
"0001112223","CK",1/27/2022,($62.90),"DEBITCARD: Gas Station","","Gas / Fuel",$10030.41,"",
"0001112223","CK",1/27/2022,($9.29),"DEBITCARD: Books","","Shopping",$10021.12,"",
"0001112223","CK",1/29/2022,($29.34),"DEBITCARD: Restaurant","","Food & Drink",$9991.78,"",
"0001112223","CK",1/30/2022,($20.55),"DEBITCARD: Pharmacy","","Health",$9971.23,"",
"0001112223","CK",2/1/2022,$3800.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$13771.23,"",
"0001112223","CK",2/1/2022,($2189.00),"ACH:Redwood Grove RENT","","Mortgage / Rent",$11582.23,"",
"0001112223","CK",2/1/2022,($18.70),"DEBITCARD: Restaurant","","Food & Drink",$11563.53,"",
"0001112223","CK",2/1/2022,($143.73),"DEBITCARD: Grocery Store","","Groceries",$11419.80,"",
"0001112223","CK",2/2/2022,($38.28),"DEBITCARD: Hardware Store","","Home",$11381.52,"",
"0001112223","CK",2/2/2022,($126.46),"DEBITCARD: Event Tickets","","Entertainment",$11255.06,"",
"0001112223","CK",2/2/2022,($65.33),"DEBITCARD: Event Tickets","","Entertainment",$11189.73,"",
