"AccountNumber","AccountType","Posted Date","Amount","Description","Check Number","Category","Balance","Note",""
"0001112223","CK",8/1/2025,$3800.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$12300.00,"budgeteer:rename=Primary Paycheck",
"0001112223","CK",8/1/2025,($2189.00),"ACH:Redwood Grove RENT","","Mortgage / Rent",$10111.00,"",
"0001112223","CK",8/2/2025,($28.95),"DEBITCARD: Movies","","Entertainment",$10082.05,"Lunch w/ coworkers",
"0001112223","CK",8/2/2025,($30.36),"DEBITCARD: Pharmacy","","Health",$10051.69,"Kids school event",
"0001112223","CK",8/3/2025,($129.04),"DEBITCARD: Grocery Store","","Groceries",$9922.65,"",
"0001112223","CK",8/4/2025,($19.66),"DEBITCARD: Restaurant","","Food & Drink",$9902.99,"",
"0001112223","CK",8/4/2025,($19.42),"DEBITCARD: Restaurant","","Food & Drink",$9883.57,"Lunch w/ coworkers",
"0001112223","CK",8/5/2025,($425.00),"ACH:AUTO LOAN PAYMENT","","Auto & Transport",$9458.57,"budgeteer:goal=Auto Loan Down-payment",
"0001112223","CK",8/5/2025,($79.99),"ACH:ISP INTERNET BILL","","Internet",$9378.58,"",
"0001112223","CK",8/5/2025,($19.55),"DEBITCARD: Restaurant","","Food & Drink",$9359.03,"",
"0001112223","CK",8/6/2025,($63.14),"DEBITCARD: Gas Station","","Gas / Fuel",$9295.89,"Birthday gift",
"0001112223","CK",8/6/2025,($34.11),"DEBITCARD: Clothing Store","","Shopping",$9261.78,"Kids school event",
"0001112223","CK",8/7/2025,($39.99),"ACH:GYM MEMBERSHIP","","Health",$9221.79,"",
"0001112223","CK",8/7/2025,($66.87),"DEBITCARD: Grocery Store","","Groceries",$9154.92,"Reimbursable (submit receipt)",
"0001112223","CK",8/7/2025,($26.02),"DEBITCARD: Movies","","Entertainment",$9128.90,"Birthday gift",
"0001112223","CK",8/8/2025,($108.50),"DEBITCARD: Grocery Store","","Groceries",$9020.40,"Lunch w/ coworkers",
"0001112223","CK",8/9/2025,($68.00),"ACH:MOBILE PHONE","","Utilities",$8952.40,"",
"0001112223","CK",8/9/2025,($77.65),"DEBITCARD: Clothing Store","","Shopping",$8874.75,"",
"0001112223","CK",8/10/2025,($19.99),"ACH:STREAMING SUBSCRIPTION","","Entertainment",$8854.76,"",
"0001112223","CK",8/10/2025,($24.02),"DEBITCARD: Restaurant","","Food & Drink",$8830.74,"Birthday gift",
"0001112223","CK",8/13/2025,($66.56),"DEBITCARD: Grocery Store","","Groceries",$8764.18,"",
"0001112223","CK",8/13/2025,($63.34),"DEBITCARD: Clothing Store","","Shopping",$8700.84,"",
"0001112223","CK",8/14/2025,($146.50),"ACH:ELECTRIC BILL","","Utilities",$8554.34,"",
"0001112223","CK",8/15/2025,$3800.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$12354.34,"",
"0001112223","CK",8/15/2025,($350.00),"Web Branch:TFR TO SV 0001112223","","Transfer",$12004.34,"budgeteer:apply=savings; budgeteer:goal=Yearly Savings Goal 2026",
"0001112223","CK",8/15/2025,($40.97),"DEBITCARD: Clothing Store","","Shopping",$11963.37,"",
"0001112223","CK",8/15/2025,($29.47),"DEBITCARD: Movies","","Entertainment",$11933.90,"",
"0001112223","CK",8/16/2025,($16.43),"DEBITCARD: Restaurant","","Food & Drink",$11917.47,"",
"0001112223","CK",8/16/2025,($173.52),"DEBITCARD: Grocery Store","","Groceries",$11743.95,"Reimbursable (submit receipt)",
"0001112223","CK",8/17/2025,($165.00),"ACH:AUTO INSURANCE","","Insurance",$11578.95,"",
"0001112223","CK",8/18/2025,($90.72),"DEBITCARD: Clothing Store","","Shopping",$11488.23,"Kids school event",
"0001112223","CK",8/19/2025,($30.86),"DEBITCARD: Pharmacy","","Health",$11457.37,"",
"0001112223","CK",8/19/2025,($43.42),"DEBITCARD: Pharmacy","","Health",$11413.95,"Over-the-counter meds",
"0001112223","CK",8/20/2025,$240.00,"ACH:MOONLIGHT GIG","","Misc. Income",$11653.95,"Side work",
"0001112223","CK",8/20/2025,($84.85),"DEBITCARD: Grocery Store","","Groceries",$11569.10,"Kids school event",
"0001112223","CK",8/21/2025,($66.43),"DEBITCARD: Gas Station","","Gas / Fuel",$11502.67,"Over-the-counter meds",
"0001112223","CK",8/21/2025,($67.74),"DEBITCARD: Clothing Store","","Shopping",$11434.93,"",
"0001112223","CK",8/22/2025,($42.75),"ACH:WATER BILL","","Utilities",$11392.18,"",
"0001112223","CK",8/24/2025,($142.18),"DEBITCARD: Grocery Store","","Groceries",$11250.00,"",
"0001112223","CK",8/26/2025,($45.05),"DEBITCARD: Gas Station","","Gas / Fuel",$11204.95,"Kids school event",
"0001112223","CK",8/26/2025,($164.42),"DEBITCARD: Grocery Store","","Groceries",$11040.53,"Lunch w/ coworkers",
"0001112223","CK",8/27/2025,($125.43),"DEBITCARD: Grocery Store","","Groceries",$10915.10,"Lunch w/ coworkers",
"0001112223","CK",9/1/2025,$3800.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$14715.10,"budgeteer:rename=Primary Paycheck",
"0001112223","CK",9/2/2025,($2189.00),"ACH:Redwood Grove RENT","","Mortgage / Rent",$12526.10,"",
"0001112223","CK",9/2/2025,($13.54),"DEBITCARD: Restaurant","","Food & Drink",$12512.56,"",
"0001112223","CK",9/4/2025,($425.00),"ACH:AUTO LOAN PAYMENT","","Auto & Transport",$12087.56,"budgeteer:goal=Auto Loan Down-payment",
"0001112223","CK",9/5/2025,($79.99),"ACH:ISP INTERNET BILL","","Internet",$12007.57,"",
"0001112223","CK",9/5/2025,($22.98),"DEBITCARD: Movies","","Entertainment",$11984.59,"",
"0001112223","CK",9/7/2025,($79.13),"DEBITCARD: Clothing Store","","Shopping",$11905.46,"Lunch w/ coworkers",
"0001112223","CK",9/8/2025,($16.52),"DEBITCARD: Pharmacy","","Health",$11888.94,"Lunch w/ coworkers",
"0001112223","CK",9/8/2025,($11.92),"DEBITCARD: Pharmacy","","Health",$11877.02,"Lunch w/ coworkers",
"0001112223","CK",9/8/2025,($47.44),"DEBITCARD: Gas Station","","Gas / Fuel",$11829.58,"Reimbursable (submit receipt)",
"0001112223","CK",9/9/2025,($39.99),"ACH:GYM MEMBERSHIP","","Health",$11789.59,"",
"0001112223","CK",9/9/2025,($14.16),"DEBITCARD: Restaurant","","Food & Drink",$11775.43,"Lunch w/ coworkers",
"0001112223","CK",9/10/2025,($68.00),"ACH:MOBILE PHONE","","Utilities",$11707.43,"",
"0001112223","CK",9/10/2025,($19.99),"ACH:STREAMING SUBSCRIPTION","","Entertainment",$11687.44,"",
"0001112223","CK",9/10/2025,($148.13),"DEBITCARD: Grocery Store","","Groceries",$11539.31,"",
"0001112223","CK",9/10/2025,($38.84),"DEBITCARD: Restaurant","","Food & Drink",$11500.47,"Birthday gift",
"0001112223","CK",9/12/2025,($146.50),"ACH:ELECTRIC BILL","","Utilities",$11353.97,"",
"0001112223","CK",9/12/2025,($38.50),"DEBITCARD: Pharmacy","","Health",$11315.47,"",
"0001112223","CK",9/12/2025,($97.92),"DEBITCARD: Grocery Store","","Groceries",$11217.55,"",
"0001112223","CK",9/13/2025,($146.32),"DEBITCARD: Grocery Store","","Groceries",$11071.23,"Reimbursable (submit receipt)",
"0001112223","CK",9/13/2025,($36.24),"DEBITCARD: Gas Station","","Gas / Fuel",$11034.99,"Reimbursable (submit receipt)",
"0001112223","CK",9/15/2025,$3800.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$14834.99,"",
"0001112223","CK",9/16/2025,($350.00),"Web Branch:TFR TO SV 0001112223","","Transfer",$14484.99,"budgeteer:apply=savings; budgeteer:goal=Yearly Savings Goal 2026",
"0001112223","CK",9/16/2025,($45.77),"DEBITCARD: Restaurant","","Food & Drink",$14439.22,"Kids school event",
"0001112223","CK",9/16/2025,($9.85),"DEBITCARD: Pharmacy","","Health",$14429.37,"",
"0001112223","CK",9/17/2025,($57.13),"DEBITCARD: Gas Station","","Gas / Fuel",$14372.24,"Lunch w/ coworkers",
"0001112223","CK",9/18/2025,$240.00,"ACH:MOONLIGHT GIG","","Misc. Income",$14612.24,"Side work",
"0001112223","CK",9/19/2025,($165.00),"ACH:AUTO INSURANCE","","Insurance",$14447.24,"",
"0001112223","CK",9/19/2025,($39.06),"DEBITCARD: Restaurant","","Food & Drink",$14408.18,"Over-the-counter meds",
"0001112223","CK",9/22/2025,($42.75),"ACH:WATER BILL","","Utilities",$14365.43,"",
"0001112223","CK",9/22/2025,($55.98),"DEBITCARD: Clothing Store","","Shopping",$14309.45,"Reimbursable (submit receipt)",
"0001112223","CK",9/22/2025,($36.87),"DEBITCARD: Gas Station","","Gas / Fuel",$14272.58,"Birthday gift",
"0001112223","CK",9/22/2025,($17.67),"DEBITCARD: Movies","","Entertainment",$14254.91,"Birthday gift",
"0001112223","CK",9/23/2025,($173.83),"DEBITCARD: Grocery Store","","Groceries",$14081.08,"Reimbursable (submit receipt)",
"0001112223","CK",9/23/2025,($49.39),"DEBITCARD: Clothing Store","","Shopping",$14031.69,"Birthday gift",
"0001112223","CK",9/25/2025,($30.02),"DEBITCARD: Clothing Store","","Shopping",$14001.67,"Birthday gift",
"0001112223","CK",9/26/2025,($107.86),"DEBITCARD: Grocery Store","","Groceries",$13893.81,"Birthday gift",
"0001112223","CK",9/26/2025,($19.40),"DEBITCARD: Pharmacy","","Health",$13874.41,"Birthday gift",
"0001112223","CK",9/26/2025,($35.39),"DEBITCARD: Clothing Store","","Shopping",$13839.02,"",
"0001112223","CK",9/26/2025,($94.24),"DEBITCARD: Clothing Store","","Shopping",$13744.78,"Lunch w/ coworkers",
"0001112223","CK",9/28/2025,($15.77),"DEBITCARD: Movies","","Entertainment",$13729.01,"Over-the-counter meds",
"0001112223","CK",9/28/2025,($93.71),"DEBITCARD: Clothing Store","","Shopping",$13635.30,"Lunch w/ coworkers",
"0001112223","CK",10/1/2025,$3800.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$17435.30,"budgeteer:rename=Primary Paycheck",
"0001112223","CK",10/1/2025,($2189.00),"ACH:Redwood Grove RENT","","Mortgage / Rent",$15246.30,"",
"0001112223","CK",10/1/2025,($116.90),"DEBITCARD: Grocery Store","","Groceries",$15129.40,"Birthday gift",
"0001112223","CK",10/2/2025,($35.65),"DEBITCARD: Restaurant","","Food & Drink",$15093.75,"Reimbursable (submit receipt)",
"0001112223","CK",10/2/2025,($18.50),"DEBITCARD: Movies","","Entertainment",$15075.25,"",
"0001112223","CK",10/4/2025,($425.00),"ACH:AUTO LOAN PAYMENT","","Auto & Transport",$14650.25,"budgeteer:goal=Auto Loan Down-payment",
"0001112223","CK",10/4/2025,($30.14),"DEBITCARD: Movies","","Entertainment",$14620.11,"Lunch w/ coworkers",
"0001112223","CK",10/4/2025,($23.08),"DEBITCARD: Movies","","Entertainment",$14597.03,"Birthday gift",
"0001112223","CK",10/5/2025,($79.99),"ACH:ISP INTERNET BILL","","Internet",$14517.04,"",
"0001112223","CK",10/8/2025,($19.99),"ACH:STREAMING SUBSCRIPTION","","Entertainment",$14497.05,"",
"0001112223","CK",10/8/2025,($40.93),"DEBITCARD: Restaurant","","Food & Drink",$14456.12,"Lunch w/ coworkers",
"0001112223","CK",10/9/2025,($39.99),"ACH:GYM MEMBERSHIP","","Health",$14416.13,"",
"0001112223","CK",10/9/2025,($26.95),"DEBITCARD: Movies","","Entertainment",$14389.18,"Lunch w/ coworkers",
"0001112223","CK",10/10/2025,($41.04),"DEBITCARD: Restaurant","","Food & Drink",$14348.14,"Kids school event",
"0001112223","CK",10/11/2025,($68.00),"ACH:MOBILE PHONE","","Utilities",$14280.14,"",
"0001112223","CK",10/11/2025,($146.50),"ACH:ELECTRIC BILL","","Utilities",$14133.64,"",
"0001112223","CK",10/11/2025,($41.61),"DEBITCARD: Restaurant","","Food & Drink",$14092.03,"",
