"AccountNumber","AccountType","Posted Date","Amount","Description","Check Number","Category","Balance","Note",""
"0001112223","CK",1/1/2026,$3800.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$12300.00,"budgeteer:rename=Primary Paycheck",
"0001112223","CK",1/1/2026,($2189.00),"ACH:Redwood Grove RENT","","Mortgage / Rent",$10111.00,"",
"0001112223","CK",1/3/2026,($30.64),"DEBITCARD: Restaurant","","Food & Drink",$10080.36,"",
"0001112223","CK",1/3/2026,($162.06),"DEBITCARD: Grocery Store","","Groceries",$9918.30,"Reimbursable (submit receipt)",
"0001112223","CK",1/3/2026,($76.88),"DEBITCARD: Grocery Store","","Groceries",$9841.42,"Over-the-counter meds",
"0001112223","CK",1/4/2026,($22.09),"DEBITCARD: Restaurant","","Food & Drink",$9819.33,"Reimbursable (submit receipt)",
"0001112223","CK",1/5/2026,($425.00),"ACH:AUTO LOAN PAYMENT","","Auto & Transport",$9394.33,"budgeteer:goal=Auto Loan Down-payment",
"0001112223","CK",1/6/2026,($79.99),"ACH:ISP INTERNET BILL","","Internet",$9314.34,"",
"0001112223","CK",1/6/2026,($6.51),"DEBITCARD: Coffee Shop","","Food & Drink",$9307.83,"Kids school event",
"0001112223","CK",1/6/2026,($29.73),"DEBITCARD: Movies","","Entertainment",$9278.10,"Kids school event",
"0001112223","CK",1/8/2026,($19.99),"ACH:STREAMING SUBSCRIPTION","","Entertainment",$9258.11,"",
"0001112223","CK",1/8/2026,($67.94),"DEBITCARD: Gas Station","","Gas / Fuel",$9190.17,"",
"0001112223","CK",1/8/2026,($49.38),"DEBITCARD: Clothing Store","","Shopping",$9140.79,"",
"0001112223","CK",1/9/2026,($39.99),"ACH:GYM MEMBERSHIP","","Health",$9100.80,"",
"0001112223","CK",1/10/2026,($13.47),"DEBITCARD: Movies","","Entertainment",$9087.33,"",
"0001112223","CK",1/11/2026,($68.00),"ACH:MOBILE PHONE","","Utilities",$9019.33,"",
"0001112223","CK",1/11/2026,($146.50),"ACH:ELECTRIC BILL","","Utilities",$8872.83,"",
"0001112223","CK",1/14/2026,($14.23),"DEBITCARD: Movies","","Entertainment",$8858.60,"Over-the-counter meds",
"0001112223","CK",1/15/2026,$3800.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$12658.60,"",
"0001112223","CK",1/16/2026,($350.00),"Web Branch:TFR TO SV 0001112223","","Transfer",$12308.60,"budgeteer:apply=savings; budgeteer:goal=Yearly Savings Goal 2026",
"0001112223","CK",1/17/2026,($17.51),"DEBITCARD: Restaurant","","Food & Drink",$12291.09,"Over-the-counter meds",
"0001112223","CK",1/19/2026,($165.00),"ACH:AUTO INSURANCE","","Insurance",$12126.09,"",
"0001112223","CK",1/19/2026,($58.85),"DEBITCARD: Gas Station","","Gas / Fuel",$12067.24,"Kids school event",
"0001112223","CK",1/20/2026,($21.97),"DEBITCARD: Pharmacy","","Health",$12045.27,"Lunch w/ coworkers",
"0001112223","CK",1/21/2026,$240.00,"ACH:MOONLIGHT GIG","","Misc. Income",$12285.27,"Side work",
"0001112223","CK",1/24/2026,($42.75),"ACH:WATER BILL","","Utilities",$12242.52,"",
"0001112223","CK",1/26/2026,($47.33),"DEBITCARD: Restaurant","","Food & Drink",$12195.19,"Kids school event",
"0001112223","CK",1/26/2026,($59.85),"DEBITCARD: Gas Station","","Gas / Fuel",$12135.34,"Kids school event",
