"AccountNumber","AccountType","Posted Date","Amount","Description","Check Number","Category","Balance","Note",""
"0001112223","CK",1/1/2022,$3950.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$12450.00,"budgeteer:rename=Primary Paycheck",
"0001112223","CK",1/1/2022,($2189.00),"ACH:Redwood Grove RENT","","Mortgage / Rent",$10261.00,"",
"0001112223","CK",1/1/2022,($245.00),"ACH:HEALTH INSURANCE","","Insurance",$10016.00,"",
"0001112223","CK",1/1/2022,($46.22),"DEBITCARD: Pet Supplies","","Pets",$9969.78,"",
"0001112223","CK",1/2/2022,($9.47),"DEBITCARD: Pharmacy","","Health",$9960.31,"",
"0001112223","CK",1/2/2022,($10.85),"DEBITCARD: Streaming Add-on","","Entertainment",$9949.46,"",
"0001112223","CK",1/3/2022,($118.49),"DEBITCARD: Grocery Store","","Groceries",$9830.97,"",
"0001112223","CK",1/3/2022,($9.03),"DEBITCARD: Pharmacy","","Health",$9821.94,"",
"0001112223","CK",1/4/2022,($425.00),"ACH:AUTO LOAN PAYMENT","","Auto & Transport",$9396.94,"budgeteer:goal=Auto Loan Down-payment",
"0001112223","CK",1/5/2022,($79.99),"ACH:ISP INTERNET BILL","","Internet",$9316.95,"",
"0001112223","CK",1/7/2022,($44.02),"DEBITCARD: Pet Supplies","","Pets",$9272.93,"",
"0001112223","CK",1/8/2022,($39.99),"ACH:GYM MEMBERSHIP","","Health",$9232.94,"",
"0001112223","CK",1/8/2022,($53.75),"DEBITCARD: Pet Supplies","","Pets",$9179.19,"",
"0001112223","CK",1/8/2022,($7.28),"DEBITCARD: Ride Share","","Auto & Transport",$9171.91,"",
"0001112223","CK",1/9/2022,($136.66),"DEBITCARD: Clothing Store","","Shopping",$9035.25,"",
"0001112223","CK",1/9/2022,($12.26),"DEBITCARD: Ride Share","","Auto & Transport",$9022.99,"",
"0001112223","CK",1/10/2022,($19.99),"ACH:STREAMING SUBSCRIPTION","","Entertainment",$9003.00,"",
"0001112223","CK",1/11/2022,($68.00),"ACH:MOBILE PHONE","","Utilities",$8935.00,"",
"0001112223","CK",1/11/2022,($210.00),"ACH:STUDENT LOAN SERVICER","","Loans",$8725.00,"",
"0001112223","CK",1/11/2022,($60.58),"DEBITCARD: Event Tickets","","Entertainment",$8664.42,"",
"0001112223","CK",1/11/2022,($6.98),"DEBITCARD: Coffee Shop","","Food & Drink",$8657.44,"",
"0001112223","CK",1/11/2022,($38.16),"DEBITCARD: Gas Station","","Gas / Fuel",$8619.28,"",
"0001112223","CK",1/11/2022,($23.43),"DEBITCARD: Books","","Shopping",$8595.85,"",
"0001112223","CK",1/12/2022,($175.53),"ACH:ELECTRIC BILL","","Utilities",$8420.32,"",
"0001112223","CK",1/12/2022,$265.58,"ACH:MOONLIGHT GIG","","Misc. Income",$8685.90,"Side work",
"0001112223","CK",1/13/2022,($7.65),"DEBITCARD: Coffee Shop","","Food & Drink",$8678.25,"",
"0001112223","CK",1/13/2022,($35.30),"DEBITCARD: Pharmacy","","Health",$8642.95,"",
"0001112223","CK",1/14/2022,($9.69),"DEBITCARD: Ride Share","","Auto & Transport",$8633.26,"",
"0001112223","CK",1/15/2022,$3800.00,"ACH:VISTA TECH PAYROLL","","Misc. Income",$12433.26,"",
"0001112223","CK",1/15/2022,($750.00),"Web Branch:TFR TO SV 0001112223","","Transfer",$11683.26,"budgeteer:apply=savings",
"0001112223","CK",1/15/2022,($38.81),"DEBITCARD: Clothing Store","","Shopping",$11644.45,"",
"0001112223","CK",1/19/2022,($40.86),"DEBITCARD: Gas Station","","Gas / Fuel",$11603.59,"",
"0001112223","CK",1/19/2022,($22.36),"DEBITCARD: Books","","Shopping",$11581.23,"",
"0001112223","CK",1/20/2022,($20.96),"DEBITCARD: Pharmacy","","Health",$11560.27,"",
"0001112223","CK",1/20/2022,($8.51),"DEBITCARD: Ride Share","","Auto & Transport",$11551.76,"",
"0001112223","CK",1/21/2022,($26.55),"DEBITCARD: Ride Share","","Auto & Transport",$11525.21,"",
"0001112223","CK",1/21/2022,($43.27),"DEBITCARD: Hardware Store","","Home",$11481.94,"",
"0001112223","CK",1/22/2022,($47.47),"ACH:WATER BILL","","Utilities",$11434.47,"",
"0001112223","CK",1/22/2022,($35.10),"DEBITCARD: Restaurant","","Food & Drink",$11399.37,"",
"0001112223","CK",1/22/2022,($66.19),"DEBITCARD: Event Tickets","","Entertainment",$11333.18,"",
