"AccountNumber","AccountType","Posted Date","Amount","Description","Check Number","Category","Balance","Note",
"0001112223","CK",1/1/2026,($1500.00),"ACH:Sunrise Apartments RENT","","Mortgage / Rent",$5000.00,"",
"0001112223","CK",1/1/2026,($65.00),"DEBITCARD: Parking Pass","","Gas / Fuel",$4935.00,"",
"0001112223","CK",1/2/2026,$2500.00,"ACH:ACME PAYROLL","","Misc. Income",$7435.00,"",
"0001112223","CK",1/2/2026,($4.75),"DEBITCARD: Coffee Shop","","Food & Drink",$7430.25,"",
"0001112223","CK",1/2/2026,($12.40),"DEBITCARD: Lunch Spot","","Food & Drink",$7417.85,"",
"0001112223","CK",1/3/2026,($132.18),"DEBITCARD: Grocery Store","","Groceries",$7285.67,"",
"0001112223","CK",1/4/2026,($41.22),"DEBITCARD: Gas Station","","Gas / Fuel",$7244.45,"",
"0001112223","CK",1/5/2026,($65.00),"ACH:ISP INTERNET BILL","","Internet",$7179.45,"",
"0001112223","CK",1/6/2026,($4.75),"DEBITCARD: Coffee Shop","","Food & Drink",$7174.70,"",
"0001112223","CK",1/6/2026,($12.40),"DEBITCARD: Lunch Spot","","Food & Drink",$7162.30,"",
"0001112223","CK",1/7/2026,($55.00),"ACH:MOBILE PHONE","","Utilities",$7107.30,"",
"0001112223","CK",1/8/2026,($15.49),"DEBITCARD: Streaming Subscription","","Movies & DVDs",$7091.81,"",
"0001112223","CK",1/10/2026,($35.00),"ACH:GYM MEMBERSHIP","","Health",$7056.81,"",
"0001112223","CK",1/12/2026,($92.14),"ACH:ELECTRIC BILL","","Utilities",$6964.67,"",
"0001112223","CK",1/16/2026,$2500.00,"ACH:ACME PAYROLL","","Misc. Income",$9464.67,"",
"0001112223","CK",1/17/2026,($118.47),"DEBITCARD: Grocery Store","","Groceries",$9346.20,"",
"0001112223","CK",1/18/2026,($110.00),"ACH:CAR INSURANCE","","Insurance",$9236.20,"",
"0001112223","CK",1/20/2026,($300.00),"Web Branch:TFR TO SV 0001112223","","Transfer",$8936.20,"",
"0001112223","CK",1/22/2026,($28.33),"ACH:WATER BILL","","Utilities",$8907.87,"",
"0001112223","CK",1/24/2026,($39.88),"DEBITCARD: Gas Station","","Gas / Fuel",$8867.99,"",
"0001112223","CK",1/25/2026,$18.42,"REFUND: Grocery Store","","Misc. Income",$8886.41,"",
"0001112223","CK",1/30/2026,$2500.00,"ACH:ACME PAYROLL","","Misc. Income",$11386.41,"",
"0001112223","CK",1/31/2026,($141.09),"DEBITCARD: Grocery Store","","Groceries",$11245.32,"",
